1	2.1875e-05
0.99	3.85417e-05
0.98	4.53125e-05
0.97	5.05208e-05
0.96	6.61458e-05
0.95	6.71875e-05
0.94	7.08333e-05
0.93	0.000153125
0.92	0.000123958
0.91	0.0001125
0.9	0.000164063
0.89	0.000194271
0.88	0.000235417
0.87	0.000214583
0.86	0.000241667
0.85	0.000248958
0.84	0.000338542
0.83	0.000386979
0.82	0.000431771
0.81	0.000417187
0.8	0.000560417
0.79	0.00063125
0.78	0.000661458
0.77	0.000838021
0.76	0.000797917
0.75	0.000906771
0.74	0.00112031
0.73	0.00129062
0.72	0.00148073
0.71	0.00165156
0.7	0.00192969
0.69	0.00209219
0.68	0.00226927
0.67	0.002425
0.66	0.00287552
0.65	0.00369792
0.64	0.00376927
0.63	0.0042276
0.62	0.00504635
0.61	0.00566094
0.6	0.00637135
0.59	0.00737604
0.58	0.0080901
0.57	0.00928542
0.56	0.0110234
0.55	0.0126115
0.54	0.0144151
0.53	0.016949
0.52	0.0193224
0.51	0.0222182
0.5	0.025549
0.49	0.0287021
0.48	0.0341333
0.47	0.0403089
0.46	0.0463224
0.45	0.0544667
0.44	0.0657667
0.43	0.0800427
0.42	0.0963203
0.41	0.117816
0.4	0.145935
0.39	0.180952
0.38	0.22981
0.37	0.295152
0.36	0.377779
0.35	0.468874
0.34	0.555205
0.33	0.620196
0.32	0.65968
0.31	0.681728
0.3	0.695939
0.29	0.707071
0.28	0.717596
0.27	0.730239
0.26	0.740197
0.25	0.750139
0.24	0.758718
0.23	0.770073
0.22	0.78033
0.21	0.790343
0.2	0.799488
0.19	0.810399
0.18	0.82051
0.17	0.830279
0.16	0.839896
0.15	0.850529
0.14	0.859409
0.13	0.869762
0.12	0.880606
0.11	0.889593
0.1	0.900367
0.09	0.90964
0.08	0.920533
0.07	0.930155
0.06	0.940738
0.05	0.950626
0.04	0.959699
0.03	0.970469
0.02	0.980163
0.01	0.989415


0	1.00045
0.01	0.988842
0.02	0.979608
0.03	0.970994
0.04	0.960469
0.05	0.949901
0.06	0.939863
0.07	0.930382
0.08	0.919246
0.09	0.91018
0.1	0.900256
0.11	0.890923
0.12	0.880812
0.13	0.87166
0.14	0.862037
0.15	0.851906
0.16	0.841205
0.17	0.831452
0.18	0.821986
0.19	0.811428
0.2	0.802017
0.21	0.792193
0.22	0.783092
0.23	0.77379
0.24	0.762911
0.25	0.753461
0.26	0.742842
0.27	0.734337
0.28	0.723121
0.29	0.71311
0.3	0.704311
0.31	0.69289
0.32	0.683008
0.33	0.67142
0.34	0.662622
0.35	0.651526
0.36	0.639387
0.37	0.627358
0.38	0.615828
0.39	0.604336
0.4	0.591175
0.41	0.577295
0.42	0.565398
0.43	0.551304
0.44	0.536886
0.45	0.522792
0.46	0.505646
0.47	0.490163
0.48	0.47324
0.49	0.453084
0.5	0.431101
0.51	0.407648
0.52	0.385183
0.53	0.360869
0.54	0.334638
0.55	0.306618
0.56	0.279065
0.57	0.251464
0.58	0.224691
0.59	0.201887
0.6	0.180501
0.61	0.161893
0.62	0.146521
0.63	0.133118
0.64	0.122443
0.65	0.113411
0.66	0.105617
0.67	0.0983458
0.68	0.0919161
0.69	0.0865932
0.7	0.0820964
0.71	0.0779151
0.72	0.0738328
0.73	0.0706542
0.74	0.0670943
0.75	0.0646422
0.76	0.0617714
0.77	0.0589948
0.78	0.0572807
0.79	0.0552932
0.8	0.0529734
0.81	0.0516708
0.82	0.0500104
0.83	0.0481646
0.84	0.0469552
0.85	0.0452995
0.86	0.0443396
0.87	0.0433266
0.88	0.0421109
0.89	0.0412328
0.9	0.0404615
0.91	0.0395099
0.92	0.0388391
0.93	0.0384297
0.94	0.0377318
0.95	0.0371193
0.96	0.0367
0.97	0.0358505
0.98	0.0352531
0.99	0.0348734


